"","Y01","Y02","Y03","Y04","Y05","Y06","Y07","Y08","Y09","Y10","Y11","Y12","Y13","Y14","Y15"
"otu16103",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"otu10572",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"otu10184",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"otu5857",0,0,0,2,0,0,0,1,0,2,0,0,0,1,1
"otu8774",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"otu3164",0,2,0,1,0,0,3,0,0,0,0,0,0,0,0
"otu12384",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"otu3886",0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
"otu8733",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"otu13529",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"otu6478",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu8755",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"otu7449",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu11609",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"otu16299",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu11918",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"otu15905",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"otu7305",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu12170",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"otu3413",0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
"otu7981",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"otu3143",0,0,0,0,1,0,0,1,0,1,0,0,1,1,3
"otu6293",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"otu15334",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"otu9602",0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
"otu4543",0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
"otu16252",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu6483",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
"otu12780",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"otu8684",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"otu13611",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"otu16186",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu9256",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"otu9382",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"otu3810",0,0,0,0,1,1,2,0,0,0,0,0,0,0,0
"otu2834",0,0,0,0,0,0,1,1,1,0,0,0,0,2,1
"otu13966",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"otu4155",0,1,0,0,1,1,2,0,0,0,0,0,0,0,0
"otu6806",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu5012",0,1,1,1,0,1,1,0,1,0,0,1,1,3,0
"otu1063",0,25,49,40,23,29,23,51,9,13,12,5,2,3,1
"otu7354",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"otu9470",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"otu16575",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"otu3112",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
